run_id,condition,bot,replication,machine,session,K,ecart,reference_recite,ev_pi_hat,ev_br,ev_realisee,actions_par_defaut,relances,erreurs_harnais,n_flags_deobf,n_flags_recitation,ecritures_intra_serie,plateau_declare,cout_tokens_in,cout_tokens_out,cout_tokens_cache_lus,cout_tokens_cache_ecrits
AE-over-folder-r2,AE,Over-folder,2,victus,2,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,13273,0,260354
AE-over-folder-r2,AE,Over-folder,2,victus,3,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,17038,0,258845
AE-over-folder-r2,AE,Over-folder,2,victus,4,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,False,456,15654,0,258848
AE-over-folder-r2,AE,Over-folder,2,victus,5,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,16476,0,258857
AE-over-folder-r2,AE,Over-folder,2,victus,6,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,2,0,0,False,456,12625,0,257202
AE-over-folder-r2,AE,Over-folder,2,victus,7,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,11119,0,257647
AE-over-folder-r2,AE,Over-folder,2,victus,8,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,11340,0,257651
AE-over-folder-r2,AE,Over-folder,2,victus,9,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,0,0,0,True,456,11212,0,257656
SM-over-folder-r2,SM,Over-folder,2,victus,0,150,0.7305738004013866,0.04720397737639117,0.2694261995986134,1.0,0.28,0,0,0,0,4,0,False,450,66670,0,241750
SM-over-folder-r2,SM,Over-folder,2,victus,1,150,0.7245775260517889,0.053200251725988856,0.27542247394821107,1.0,0.3466666666666667,0,0,0,0,4,0,False,450,64252,0,241757
SM-over-folder-r2,SM,Over-folder,2,victus,2,150,0.6652597402597402,0.11251803751803752,0.3347402597402597,1.0,0.37333333333333335,0,0,0,1,3,0,False,450,67288,0,241754
AE-gto-r1,AE,GTO,1,victus,0,150,0.18115942028985507,-0.18115942028985507,-0.18115942028985507,0.0,-0.08666666666666667,0,0,0,2,8,0,False,492,69668,0,255898
AE-gto-r1,AE,GTO,1,victus,1,150,0.04316738816738817,-0.04316738816738817,-0.04316738816738817,0.0,0.03333333333333333,0,0,0,8,14,0,False,522,41133,0,332393
AE-gto-r1,AE,GTO,1,victus,2,150,0.0,0.0,0.0,0.0,-0.13333333333333333,0,0,0,2,3,0,False,555,31601,0,362446
AE-gto-r1,AE,GTO,1,victus,3,150,0.023148148148148147,-0.023148148148148147,-0.023148148148148147,0.0,-0.07333333333333333,0,0,0,1,1,0,False,513,30093,0,329534
